ID_Importacion;Fecha_Lista;Nota;Estado
42881854-MKT200;2024-03-15;4;Aprobado
43315303-GEN101;2024-03-15;3;Desaprobado
43904609-DEV101;2024-03-15;6;Aprobado
34343777-NEG400;2024-03-16;1;Desaprobado
34939319-DAT201;2024-03-16;6;Aprobado
35650079-DEV101;2024-03-16;1;Desaprobado
36630045-MKT200;2024-03-16;1;Desaprobado
37663002-DAT101;2024-03-16;10;Aprobado
37795993-GEN101;2024-03-16;8;Aprobado
39916823-IA300;2024-03-16;2;Desaprobado
40603350-DAT101;2024-03-16;1;Desaprobado
42613265-IA300;2024-03-16;5;Aprobado
42645481-MKT200;2024-03-16;4;Aprobado
43888324-UX100;2024-03-16;9;Aprobado
31122274-IA300;2024-03-17;7;Aprobado
31629308-DAT201;2024-03-17;1;Desaprobado
32152121-MKT200;2024-03-17;3;Desaprobado
34211417-DEV101;2024-03-17;8;Aprobado
36906085-UX100;2024-03-17;5;Aprobado
37795993-GEN101;2024-03-17;1;Desaprobado
40422549-MKT200;2024-03-17;10;Aprobado
45182848-IA300;2024-03-17;10;Aprobado
30680437-DEV101;2024-03-18;2;Desaprobado
35648819-DAT101;2024-03-18;10;Aprobado
36362413-NEG400;2024-03-18;6;Aprobado
37706458-MKT200;2024-03-18;8;Aprobado
37856329-GEN101;2024-03-18;3;Desaprobado
38934818-DAT201;2024-03-18;9;Aprobado
43651742-UX100;2024-03-18;8;Aprobado
44661890-GEN101;2024-03-18;6;Aprobado
30856430-DAT201;2024-03-19;4;Aprobado
31629308-UX100;2024-03-19;1;Desaprobado
35915416-DAT201;2024-03-19;3;Desaprobado
37869329-IA300;2024-03-19;9;Aprobado
38526500-DAT101;2024-03-19;9;Aprobado
41332008-GEN101;2024-03-19;1;Desaprobado
42760731-NEG400;2024-03-19;5;Aprobado
31767975-DAT101;2024-03-20;5;Aprobado
35049197-DAT201;2024-03-20;10;Aprobado
36629400-DEV101;2024-03-20;4;Aprobado
36701152-DAT201;2024-03-20;2;Desaprobado
38877407-DEV101;2024-03-20;6;Aprobado
39775624-UX100;2024-03-20;9;Aprobado
42254691-DAT201;2024-03-20;5;Aprobado
44536877-NEG400;2024-03-20;7;Aprobado
30252475-UX100;2024-03-21;5;Aprobado
30279612-MKT200;2024-03-21;5;Aprobado
30362258-NEG400;2024-03-21;7;Aprobado
31087473-UX100;2024-03-21;6;Aprobado
35515194-DAT101;2024-03-21;10;Aprobado
36309794-IA300;2024-03-21;4;Aprobado
36727365-DAT101;2024-03-21;9;Aprobado
45561312-GEN101;2024-03-21;9;Aprobado
32349994-MKT200;2024-03-22;4;Aprobado
34567608-DEV101;2024-03-22;3;Desaprobado
35316729-MKT200;2024-03-22;3;Desaprobado
38194575-DAT201;2024-03-22;1;Desaprobado
38622234-MKT200;2024-03-22;6;Aprobado
42208457-UX100;2024-03-22;2;Desaprobado
42727516-IA300;2024-03-22;7;Aprobado
42909942-DAT201;2024-03-22;10;Aprobado
44385458-DEV101;2024-03-22;1;Desaprobado
44927685-MKT200;2024-03-22;4;Aprobado
31061893-DAT101;2024-03-23;7;Aprobado
31061893-DAT101;2024-03-23;6;Aprobado
32141644-DEV101;2024-03-23;6;Aprobado
34356381-UX100;2024-03-23;9;Aprobado
37674710-UX100;2024-03-23;10;Aprobado
39571770-IA300;2024-03-23;6;Aprobado
40578248-DAT201;2024-03-23;8;Aprobado
41112892-DEV101;2024-03-23;5;Aprobado
41530667-GEN101;2024-03-23;8;Aprobado
43105183-GEN101;2024-03-23;3;Desaprobado
35517472-DAT201;2024-03-24;4;Aprobado
36163868-GEN101;2024-03-24;3;Desaprobado
39463207-IA300;2024-03-24;6;Aprobado
34635361-DAT201;2024-03-25;5;Aprobado
35501443-UX100;2024-03-25;1;Desaprobado
37678418-DAT101;2024-03-25;1;Desaprobado
42253635-MKT200;2024-03-25;9;Aprobado
30966401-UX100;2024-03-26;4;Aprobado
34092604-GEN101;2024-03-26;4;Aprobado
36906085-DAT201;2024-03-26;10;Aprobado
36948146-DEV101;2024-03-26;2;Desaprobado
37505561-GEN101;2024-03-26;10;Aprobado
39144752-DAT201;2024-03-26;2;Desaprobado
39386440-DAT201;2024-03-26;9;Aprobado
40245831-NEG400;2024-03-26;7;Aprobado
41931470-IA300;2024-03-26;4;Aprobado
42500015-IA300;2024-03-26;10;Aprobado
45419981-DEV101;2024-03-26;4;Aprobado
45503533-MKT200;2024-03-26;1;Desaprobado
30465936-DAT101;2024-03-27;1;Desaprobado
34758464-GEN101;2024-03-27;2;Desaprobado
36456678-DAT201;2024-03-27;8;Aprobado
36489803-DAT201;2024-03-27;3;Desaprobado
36594040-DAT101;2024-03-27;3;Desaprobado
37142397-IA300;2024-03-27;9;Aprobado
37444361-DAT101;2024-03-27;1;Desaprobado
38481398-UX100;2024-03-27;2;Desaprobado
39194704-DEV101;2024-03-27;5;Aprobado
39747478-NEG400;2024-03-27;2;Desaprobado
40167473-UX100;2024-03-27;3;Desaprobado
40421216-GEN101;2024-03-27;3;Desaprobado
40764881-DEV101;2024-03-27;2;Desaprobado
41915923-DAT101;2024-03-27;9;Aprobado
42002650-NEG400;2024-03-27;6;Aprobado
44654200-DAT101;2024-03-27;4;Aprobado
44765173-GEN101;2024-03-27;4;Aprobado
45171795-IA300;2024-03-27;1;Desaprobado
30619113-DEV101;2024-03-28;4;Aprobado
38038154-IA300;2024-03-28;9;Aprobado
38446695-GEN101;2024-03-28;3;Desaprobado
39641826-DAT101;2024-03-28;10;Aprobado
41748984-MKT200;2024-03-28;2;Desaprobado
43062304-UX100;2024-03-28;4;Aprobado
44412440-DAT101;2024-03-28;4;Aprobado
44753132-UX100;2024-03-28;8;Aprobado
31165911-NEG400;2024-03-29;8;Aprobado
31442827-MKT200;2024-03-29;10;Aprobado
31821525-DEV101;2024-03-29;4;Aprobado
37749075-MKT200;2024-03-29;9;Aprobado
37797988-NEG400;2024-03-29;9;Aprobado
38657054-MKT200;2024-03-29;9;Aprobado
41594052-GEN101;2024-03-29;10;Aprobado
41943395-IA300;2024-03-29;10;Aprobado
44698831-IA300;2024-03-29;3;Desaprobado
44765173-DAT101;2024-03-29;8;Aprobado
30263228-IA300;2024-03-30;6;Aprobado
31162466-DEV101;2024-03-30;7;Aprobado
31777177-DAT201;2024-03-30;4;Aprobado
32416248-DEV101;2024-03-30;2;Desaprobado
35745673-UX100;2024-03-30;6;Aprobado
36016561-NEG400;2024-03-30;3;Desaprobado
39054820-DAT201;2024-03-30;8;Aprobado
39451059-GEN101;2024-03-30;1;Desaprobado
42179672-IA300;2024-03-30;3;Desaprobado
42909942-NEG400;2024-03-30;3;Desaprobado
31178906-UX100;2024-03-31;7;Aprobado
31935757-DEV101;2024-03-31;10;Aprobado
35648819-DEV101;2024-03-31;5;Aprobado
36461761-DAT101;2024-03-31;1;Desaprobado
36855486-DAT201;2024-03-31;3;Desaprobado
37161768-UX100;2024-03-31;8;Aprobado
38657054-MKT200;2024-03-31;1;Desaprobado
39556507-IA300;2024-03-31;1;Desaprobado
44508081-DAT101;2024-03-31;8;Aprobado
30116169-MKT200;2024-04-01;5;Aprobado
32932411-IA300;2024-04-01;9;Aprobado
35990190-DEV101;2024-04-01;4;Aprobado
38925094-DAT101;2024-04-01;4;Aprobado
40534516-DAT101;2024-04-01;7;Aprobado
40701939-DAT101;2024-04-01;10;Aprobado
41473248-IA300;2024-04-01;8;Aprobado
41575887-GEN101;2024-04-01;4;Aprobado
44555423-MKT200;2024-04-01;6;Aprobado
44563667-DAT201;2024-04-01;1;Desaprobado
45341622-NEG400;2024-04-01;4;Aprobado
45402891-MKT200;2024-04-01;1;Desaprobado
30058812-IA300;2024-04-02;5;Aprobado
30370016-MKT200;2024-04-02;7;Aprobado
34146531-IA300;2024-04-02;2;Desaprobado
34508314-GEN101;2024-04-02;2;Desaprobado
35023742-DAT101;2024-04-02;1;Desaprobado
36083652-DEV101;2024-04-02;1;Desaprobado
39463207-DAT201;2024-04-02;8;Aprobado
43767499-DEV101;2024-04-02;5;Aprobado
44419194-IA300;2024-04-02;9;Aprobado
45788790-NEG400;2024-04-02;2;Desaprobado
30309712-MKT200;2024-04-03;7;Aprobado
34166651-DEV101;2024-04-03;2;Desaprobado
35437650-DAT201;2024-04-03;3;Desaprobado
38388641-MKT200;2024-04-03;4;Aprobado
45341622-DEV101;2024-04-03;2;Desaprobado
31593963-MKT200;2024-04-04;2;Desaprobado
33665133-DAT101;2024-04-04;6;Aprobado
34059848-DAT201;2024-04-04;5;Aprobado
35196112-DEV101;2024-04-04;10;Aprobado
35598228-MKT200;2024-04-04;5;Aprobado
39129106-MKT200;2024-04-04;4;Aprobado
40167473-MKT200;2024-04-04;6;Aprobado
42002650-DAT101;2024-04-04;6;Aprobado
42727516-IA300;2024-04-04;6;Aprobado
30279612-DAT201;2024-04-05;5;Aprobado
31723879-IA300;2024-04-05;4;Aprobado
31800702-DEV101;2024-04-05;10;Aprobado
35745673-NEG400;2024-04-05;7;Aprobado
36725023-NEG400;2024-04-05;1;Desaprobado
40105729-GEN101;2024-04-05;2;Desaprobado
40860494-DAT201;2024-04-05;3;Desaprobado
42679506-IA300;2024-04-05;5;Aprobado
42892502-UX100;2024-04-05;6;Aprobado
43720785-GEN101;2024-04-05;8;Aprobado
30174396-DEV101;2024-04-06;3;Desaprobado
31453197-MKT200;2024-04-06;6;Aprobado
32196825-IA300;2024-04-06;6;Aprobado
32272850-NEG400;2024-04-06;6;Aprobado
33601032-UX100;2024-04-06;4;Aprobado
36392604-GEN101;2024-04-06;8;Aprobado
36630045-NEG400;2024-04-06;9;Aprobado
38406894-DAT201;2024-04-06;3;Desaprobado
38657054-UX100;2024-04-06;9;Aprobado
39003369-UX100;2024-04-06;2;Desaprobado
39718327-DEV101;2024-04-06;5;Aprobado
40532051-DAT101;2024-04-06;6;Aprobado
42331291-DAT201;2024-04-06;7;Aprobado
42331291-NEG400;2024-04-06;2;Desaprobado
44886400-DAT201;2024-04-06;3;Desaprobado
45609644-UX100;2024-04-06;5;Aprobado
33665133-DAT201;2024-04-07;7;Aprobado
34443405-MKT200;2024-04-07;5;Aprobado
34711560-DEV101;2024-04-07;8;Aprobado
35155411-DAT201;2024-04-07;9;Aprobado
38750180-MKT200;2024-04-07;2;Desaprobado
39308771-DEV101;2024-04-07;3;Desaprobado
40338924-NEG400;2024-04-07;5;Aprobado
40446070-NEG400;2024-04-07;3;Desaprobado
40496612-DAT101;2024-04-07;8;Aprobado
43736953-DEV101;2024-04-07;9;Aprobado
45427332-DEV101;2024-04-07;1;Desaprobado
45503533-MKT200;2024-04-07;2;Desaprobado
35409911-IA300;2024-04-08;6;Aprobado
36839899-NEG400;2024-04-08;1;Desaprobado
37345680-UX100;2024-04-08;7;Aprobado
39500363-UX100;2024-04-08;10;Aprobado
42208457-GEN101;2024-04-08;4;Aprobado
43388966-IA300;2024-04-08;8;Aprobado
32430086-DAT101;2024-04-09;2;Desaprobado
33663590-DEV101;2024-04-09;8;Aprobado
34508314-IA300;2024-04-09;4;Aprobado
36392604-DAT101;2024-04-09;10;Aprobado
40421216-GEN101;2024-04-09;4;Aprobado
41886872-DAT101;2024-04-09;5;Aprobado
43312078-IA300;2024-04-09;2;Desaprobado
43483992-MKT200;2024-04-09;4;Aprobado
43549185-DAT101;2024-04-09;10;Aprobado
30348701-GEN101;2024-04-10;8;Aprobado
32143636-DAT201;2024-04-10;4;Aprobado
32272850-DAT101;2024-04-10;5;Aprobado
32449620-UX100;2024-04-10;3;Desaprobado
33353040-DAT201;2024-04-10;9;Aprobado
34759191-NEG400;2024-04-10;4;Aprobado
35212815-IA300;2024-04-10;2;Desaprobado
37155742-NEG400;2024-04-10;10;Aprobado
41883892-IA300;2024-04-10;4;Aprobado
42758944-NEG400;2024-04-10;8;Aprobado
31295512-DEV101;2024-04-11;7;Aprobado
31326547-IA300;2024-04-11;4;Aprobado
36083652-NEG400;2024-04-11;4;Aprobado
38657054-IA300;2024-04-11;10;Aprobado
38866674-NEG400;2024-04-11;2;Desaprobado
41597245-DEV101;2024-04-11;9;Aprobado
41883892-IA300;2024-04-11;2;Desaprobado
42321650-DEV101;2024-04-11;4;Aprobado
42679506-GEN101;2024-04-11;1;Desaprobado
45743513-MKT200;2024-04-11;8;Aprobado
31453197-DAT201;2024-04-12;6;Aprobado
34635361-MKT200;2024-04-12;6;Aprobado
35745673-GEN101;2024-04-12;7;Aprobado
38338168-DEV101;2024-04-12;6;Aprobado
40434897-GEN101;2024-04-12;9;Aprobado
41109574-DEV101;2024-04-12;3;Desaprobado
42590810-DAT101;2024-04-12;3;Desaprobado
42810923-UX100;2024-04-12;7;Aprobado
44113409-DAT101;2024-04-12;8;Aprobado
33225144-IA300;2024-04-13;10;Aprobado
33387615-DAT201;2024-04-13;2;Desaprobado
35449166-MKT200;2024-04-13;8;Aprobado
38223982-DAT101;2024-04-13;8;Aprobado
39430035-DEV101;2024-04-13;8;Aprobado
45147679-GEN101;2024-04-13;2;Desaprobado
31352683-MKT200;2024-04-14;5;Aprobado
34508314-UX100;2024-04-14;4;Aprobado
39777873-DAT201;2024-04-14;3;Desaprobado
41941216-IA300;2024-04-14;4;Aprobado
43888324-GEN101;2024-04-14;8;Aprobado
44791193-DEV101;2024-04-14;5;Aprobado
30126752-DAT101;2024-04-15;2;Desaprobado
30723545-UX100;2024-04-15;5;Aprobado
30926558-UX100;2024-04-15;3;Desaprobado
31205804-NEG400;2024-04-15;2;Desaprobado
38290265-NEG400;2024-04-15;10;Aprobado
39099433-NEG400;2024-04-15;8;Aprobado
40328227-IA300;2024-04-15;7;Aprobado
40886471-DAT101;2024-04-15;7;Aprobado
41171969-GEN101;2024-04-15;6;Aprobado
41297634-MKT200;2024-04-15;1;Desaprobado
42378567-IA300;2024-04-15;8;Aprobado
43773004-NEG400;2024-04-15;10;Aprobado
35188238-UX100;2024-04-16;3;Desaprobado
35440459-DAT101;2024-04-16;5;Aprobado
37099184-UX100;2024-04-16;1;Desaprobado
39157120-IA300;2024-04-16;3;Desaprobado
41829357-IA300;2024-04-16;9;Aprobado
42849061-IA300;2024-04-16;7;Aprobado
31370404-DAT201;2024-04-17;3;Desaprobado
31868622-MKT200;2024-04-17;10;Aprobado
32099618-MKT200;2024-04-17;10;Aprobado
39157120-IA300;2024-04-17;2;Desaprobado
40371152-DAT201;2024-04-17;9;Aprobado
45076126-IA300;2024-04-17;2;Desaprobado
30619113-MKT200;2024-04-18;1;Desaprobado
36630045-DAT201;2024-04-18;10;Aprobado
37024637-UX100;2024-04-18;9;Aprobado
39822223-IA300;2024-04-18;5;Aprobado
39924190-GEN101;2024-04-18;1;Desaprobado
42419781-UX100;2024-04-18;6;Aprobado
42928321-MKT200;2024-04-18;7;Aprobado
43068884-NEG400;2024-04-18;8;Aprobado
44635112-IA300;2024-04-18;4;Aprobado
45055136-UX100;2024-04-18;7;Aprobado
31730247-NEG400;2024-04-19;5;Aprobado
32808702-DAT201;2024-04-19;1;Desaprobado
34801591-GEN101;2024-04-19;5;Aprobado
35674650-DAT201;2024-04-19;1;Desaprobado
36326296-IA300;2024-04-19;8;Aprobado
37949128-NEG400;2024-04-19;10;Aprobado
41763206-DEV101;2024-04-19;9;Aprobado
43416352-DAT101;2024-04-19;9;Aprobado
45419981-GEN101;2024-04-19;3;Desaprobado
30413264-IA300;2024-04-20;1;Desaprobado
31366271-MKT200;2024-04-20;4;Aprobado
33493292-UX100;2024-04-20;5;Aprobado
34711560-DAT201;2024-04-20;2;Desaprobado
40665974-DAT201;2024-04-20;2;Desaprobado
42124538-UX100;2024-04-20;7;Aprobado
44594931-DAT201;2024-04-20;9;Aprobado
32578687-DAT101;2024-04-21;9;Aprobado
33556417-NEG400;2024-04-21;6;Aprobado
33630695-DAT101;2024-04-21;1;Desaprobado
37268989-DAT101;2024-04-21;9;Aprobado
39924190-IA300;2024-04-21;8;Aprobado
40993683-DEV101;2024-04-21;10;Aprobado
41950086-GEN101;2024-04-21;8;Aprobado
45842940-UX100;2024-04-21;2;Desaprobado
33035804-MKT200;2024-04-22;1;Desaprobado
33429749-DAT101;2024-04-22;9;Aprobado
33601032-IA300;2024-04-22;6;Aprobado
36794996-UX100;2024-04-22;9;Aprobado
37706458-DAT101;2024-04-22;3;Desaprobado
38038154-MKT200;2024-04-22;8;Aprobado
39579403-DAT101;2024-04-22;4;Aprobado
45743513-UX100;2024-04-22;1;Desaprobado
45819512-NEG400;2024-04-22;10;Aprobado
33753511-UX100;2024-04-23;9;Aprobado
35627041-DAT101;2024-04-23;4;Aprobado
36031653-IA300;2024-04-23;7;Aprobado
38866674-MKT200;2024-04-23;4;Aprobado
41065435-GEN101;2024-04-23;7;Aprobado
45170259-UX100;2024-04-23;5;Aprobado
30763137-DAT101;2024-04-24;10;Aprobado
31188805-NEG400;2024-04-24;9;Aprobado
33247205-GEN101;2024-04-24;1;Desaprobado
36629400-DAT101;2024-04-24;6;Aprobado
36878477-DAT201;2024-04-24;3;Desaprobado
37678418-DAT201;2024-04-24;9;Aprobado
41077276-GEN101;2024-04-24;1;Desaprobado
42002650-DEV101;2024-04-24;10;Aprobado
44594931-DAT101;2024-04-24;8;Aprobado
45303367-UX100;2024-04-24;6;Aprobado
45968790-DAT201;2024-04-24;9;Aprobado
30089193-DAT101;2024-04-25;2;Desaprobado
30445334-GEN101;2024-04-25;8;Aprobado
32698751-IA300;2024-04-25;4;Aprobado
36456678-DEV101;2024-04-25;1;Desaprobado
36659139-DAT101;2024-04-25;7;Aprobado
31230787-DEV101;2024-04-26;9;Aprobado
31263287-IA300;2024-04-26;7;Aprobado
31730247-DEV101;2024-04-26;5;Aprobado
33267106-MKT200;2024-04-26;8;Aprobado
34077479-GEN101;2024-04-26;3;Desaprobado
34864189-IA300;2024-04-26;3;Desaprobado
36349870-DAT101;2024-04-26;5;Aprobado
38038154-IA300;2024-04-26;9;Aprobado
39164387-UX100;2024-04-26;8;Aprobado
41998415-DAT101;2024-04-26;6;Aprobado
42242735-MKT200;2024-04-26;8;Aprobado
44242303-DEV101;2024-04-26;5;Aprobado
44713988-MKT200;2024-04-26;6;Aprobado
44807676-GEN101;2024-04-26;9;Aprobado
45383156-DAT201;2024-04-26;1;Desaprobado
45385368-DAT101;2024-04-26;2;Desaprobado
31379248-MKT200;2024-04-27;6;Aprobado
31692100-UX100;2024-04-27;8;Aprobado
33885760-DEV101;2024-04-27;10;Aprobado
35620137-IA300;2024-04-27;5;Aprobado
35845730-NEG400;2024-04-27;3;Desaprobado
37949128-UX100;2024-04-27;5;Aprobado
38290265-DEV101;2024-04-27;6;Aprobado
39842417-DEV101;2024-04-27;3;Desaprobado
42132790-IA300;2024-04-27;10;Aprobado
44120543-MKT200;2024-04-27;7;Aprobado
31438321-NEG400;2024-04-28;8;Aprobado
31593963-DAT201;2024-04-28;6;Aprobado
33338311-NEG400;2024-04-28;5;Aprobado
33387615-IA300;2024-04-28;9;Aprobado
35845730-MKT200;2024-04-28;2;Desaprobado
38877407-DAT201;2024-04-28;6;Aprobado
40348880-DAT201;2024-04-28;7;Aprobado
41003214-IA300;2024-04-28;8;Aprobado
45303367-DAT201;2024-04-28;1;Desaprobado
45633220-NEG400;2024-04-28;3;Desaprobado
31134185-NEG400;2024-04-29;3;Desaprobado
31185224-NEG400;2024-04-29;3;Desaprobado
32349994-IA300;2024-04-29;3;Desaprobado
38542906-UX100;2024-04-29;1;Desaprobado
35740137-MKT200;2024-04-30;9;Aprobado
38832034-NEG400;2024-04-30;7;Aprobado
43720785-DAT201;2024-04-30;1;Desaprobado
44753132-IA300;2024-04-30;5;Aprobado
45256650-NEG400;2024-04-30;6;Aprobado
31370404-DAT201;2024-05-01;10;Aprobado
32085812-DAT201;2024-05-01;2;Desaprobado
33155313-DEV101;2024-05-01;10;Aprobado
36313373-IA300;2024-05-01;2;Desaprobado
36744678-DAT201;2024-05-01;3;Desaprobado
37935165-DAT101;2024-05-01;9;Aprobado
39129106-GEN101;2024-05-01;7;Aprobado
40069107-MKT200;2024-05-01;5;Aprobado
42331291-DAT101;2024-05-01;1;Desaprobado
44775708-GEN101;2024-05-01;1;Desaprobado
45850941-GEN101;2024-05-01;4;Aprobado
30437958-MKT200;2024-05-02;9;Aprobado
32259990-UX100;2024-05-02;8;Aprobado
40214433-DAT101;2024-05-02;8;Aprobado
42208457-DAT201;2024-05-02;10;Aprobado
42574929-DAT101;2024-05-02;10;Aprobado
42881854-DAT201;2024-05-02;2;Desaprobado
31921360-GEN101;2024-05-03;9;Aprobado
32343092-NEG400;2024-05-03;3;Desaprobado
34845546-DAT201;2024-05-03;7;Aprobado
38689454-MKT200;2024-05-03;1;Desaprobado
39268069-NEG400;2024-05-03;9;Aprobado
39777873-NEG400;2024-05-03;7;Aprobado
42928321-DEV101;2024-05-03;4;Aprobado
43023911-DAT101;2024-05-03;4;Aprobado
30566758-UX100;2024-05-04;1;Desaprobado
31594777-DAT101;2024-05-04;3;Desaprobado
32169352-IA300;2024-05-04;3;Desaprobado
33663590-DAT101;2024-05-04;6;Aprobado
33922912-DEV101;2024-05-04;3;Desaprobado
36907787-UX100;2024-05-04;1;Desaprobado
37261587-DAT101;2024-05-04;10;Aprobado
37795993-DAT101;2024-05-04;8;Aprobado
39041016-DEV101;2024-05-04;6;Aprobado
41885509-MKT200;2024-05-04;9;Aprobado
45752068-GEN101;2024-05-04;3;Desaprobado
31599603-MKT200;2024-05-05;5;Aprobado
32099297-IA300;2024-05-05;8;Aprobado
32578687-NEG400;2024-05-05;5;Aprobado
37454570-DAT101;2024-05-05;10;Aprobado
41129177-NEG400;2024-05-05;7;Aprobado
42266843-NEG400;2024-05-05;2;Desaprobado
45826183-MKT200;2024-05-05;1;Desaprobado
31821525-DAT201;2024-05-06;1;Desaprobado
33699765-UX100;2024-05-06;8;Aprobado
34070539-GEN101;2024-05-06;9;Aprobado
35579453-DAT201;2024-05-06;5;Aprobado
37054065-DEV101;2024-05-06;1;Desaprobado
38622234-DAT201;2024-05-06;10;Aprobado
43904609-NEG400;2024-05-06;4;Aprobado
45842940-NEG400;2024-05-06;6;Aprobado
31800702-GEN101;2024-05-07;10;Aprobado
34631318-DEV101;2024-05-07;1;Desaprobado
34715773-DEV101;2024-05-07;1;Desaprobado
35543489-UX100;2024-05-07;1;Desaprobado
40776019-GEN101;2024-05-07;4;Aprobado
40818237-GEN101;2024-05-07;10;Aprobado
43695456-MKT200;2024-05-07;9;Aprobado
43771658-DAT201;2024-05-07;6;Aprobado
45171795-DEV101;2024-05-07;6;Aprobado
