"ID_Evaluacion","ID_Inscripcion","Fecha_Lista","Nota","Estado","ERROR"
"44313136_DAT-101_2024-1_2024-03-04","44313136_DAT-101_2024-1","2024-03-04","2","Desaprobado","storage limit exceeded"
"31763113_UX-100_2024-1_2024-03-04","31763113_UX-100_2024-1","2024-03-04","4","Aprobado","storage limit exceeded"
"37085503_DEV-101_2024-1_2024-03-05","37085503_DEV-101_2024-1","2024-03-05","2","Desaprobado","storage limit exceeded"
"40578248_MKT-200_2024-1_2024-03-05","40578248_MKT-200_2024-1","2024-03-05","10","Aprobado","storage limit exceeded"
"33541682_UX-100_2024-1_2024-03-05","33541682_UX-100_2024-1","2024-03-05","4","Aprobado","storage limit exceeded"
"44012569_GEN-101_2024-1_2024-03-05","44012569_GEN-101_2024-1","2024-03-05","9","Aprobado","storage limit exceeded"
"42500015_DAT-101_2024-1_2024-03-05","42500015_DAT-101_2024-1","2024-03-05","2","Desaprobado","storage limit exceeded"
"45840080_DAT-101_2024-1_2024-03-05","45840080_DAT-101_2024-1","2024-03-05","10","Aprobado","storage limit exceeded"
"35376871_NEG-400_2024-1_2024-03-05","35376871_NEG-400_2024-1","2024-03-05","1","Desaprobado","storage limit exceeded"
"39696052_GEN-101_2024-1_2024-03-05","39696052_GEN-101_2024-1","2024-03-05","8","Aprobado","storage limit exceeded"
"30117903_IA-300_2024-1_2024-03-05","30117903_IA-300_2024-1","2024-03-05","7","Aprobado","storage limit exceeded"
"41068300_IA-300_2024-1_2024-03-05","41068300_IA-300_2024-1","2024-03-05","3","Desaprobado","storage limit exceeded"
"35620137_NEG-400_2024-1_2024-03-05","35620137_NEG-400_2024-1","2024-03-05","1","Desaprobado","storage limit exceeded"
"38207316_DEV-101_2024-1_2024-03-05","38207316_DEV-101_2024-1","2024-03-05","4","Aprobado","storage limit exceeded"
"42254691_IA-300_2024-1_2024-03-06","42254691_IA-300_2024-1","2024-03-06","8","Aprobado","storage limit exceeded"
"44635112_IA-300_2024-1_2024-03-06","44635112_IA-300_2024-1","2024-03-06","6","Aprobado","storage limit exceeded"
"41289550_UX-100_2024-1_2024-03-06","41289550_UX-100_2024-1","2024-03-06","9","Aprobado","storage limit exceeded"
"45656190_DAT-101_2024-1_2024-03-06","45656190_DAT-101_2024-1","2024-03-06","5","Aprobado","storage limit exceeded"
"31621161_MKT-200_2024-1_2024-03-06","31621161_MKT-200_2024-1","2024-03-06","7","Aprobado","storage limit exceeded"
"42845702_MKT-200_2024-1_2024-03-06","42845702_MKT-200_2024-1","2024-03-06","5","Aprobado","storage limit exceeded"
"35420584_IA-300_2024-1_2024-03-06","35420584_IA-300_2024-1","2024-03-06","10","Aprobado","storage limit exceeded"
"36369209_UX-100_2024-1_2024-03-06","36369209_UX-100_2024-1","2024-03-06","9","Aprobado","storage limit exceeded"
"43625205_UX-100_2024-1_2024-03-06","43625205_UX-100_2024-1","2024-03-06","1","Desaprobado","storage limit exceeded"
"44094966_DAT-201_2024-1_2024-03-07","44094966_DAT-201_2024-1","2024-03-07","10","Aprobado","storage limit exceeded"
"35824110_GEN-101_2024-1_2024-03-07","35824110_GEN-101_2024-1","2024-03-07","6","Aprobado","storage limit exceeded"
"40033579_UX-100_2024-1_2024-03-07","40033579_UX-100_2024-1","2024-03-07","8","Aprobado","storage limit exceeded"
"38194575_DAT-101_2024-1_2024-03-07","38194575_DAT-101_2024-1","2024-03-07","6","Aprobado","storage limit exceeded"
"33952849_DAT-201_2024-1_2024-03-07","33952849_DAT-201_2024-1","2024-03-07","5","Aprobado","storage limit exceeded"
"32991581_GEN-101_2024-1_2024-03-08","32991581_GEN-101_2024-1","2024-03-08","5","Aprobado","storage limit exceeded"
"41885509_NEG-400_2024-1_2024-03-08","41885509_NEG-400_2024-1","2024-03-08","4","Aprobado","storage limit exceeded"
"33838303_GEN-101_2024-1_2024-03-08","33838303_GEN-101_2024-1","2024-03-08","10","Aprobado","storage limit exceeded"
"36279807_NEG-400_2024-1_2024-03-08","36279807_NEG-400_2024-1","2024-03-08","7","Aprobado","storage limit exceeded"
"42208457_DAT-201_2024-1_2024-03-08","42208457_DAT-201_2024-1","2024-03-08","7","Aprobado","storage limit exceeded"
"38750180_UX-100_2024-1_2024-03-08","38750180_UX-100_2024-1","2024-03-08","5","Aprobado","storage limit exceeded"
"37222211_DEV-101_2024-1_2024-03-08","37222211_DEV-101_2024-1","2024-03-08","2","Desaprobado","storage limit exceeded"
"38645258_MKT-200_2024-1_2024-03-09","38645258_MKT-200_2024-1","2024-03-09","6","Aprobado","storage limit exceeded"
"37604035_DAT-201_2024-1_2024-03-09","37604035_DAT-201_2024-1","2024-03-09","1","Desaprobado","storage limit exceeded"
"32160000_DEV-101_2024-1_2024-03-09","32160000_DEV-101_2024-1","2024-03-09","4","Aprobado","storage limit exceeded"
"38223982_UX-100_2024-1_2024-03-09","38223982_UX-100_2024-1","2024-03-09","2","Desaprobado","storage limit exceeded"
"41289550_MKT-200_2024-1_2024-03-09","41289550_MKT-200_2024-1","2024-03-09","6","Aprobado","storage limit exceeded"
"33081027_UX-100_2024-1_2024-03-09","33081027_UX-100_2024-1","2024-03-09","9","Aprobado","storage limit exceeded"
"32349994_UX-100_2024-1_2024-03-09","32349994_UX-100_2024-1","2024-03-09","9","Aprobado","storage limit exceeded"
"34636803_MKT-200_2024-1_2024-03-09","34636803_MKT-200_2024-1","2024-03-09","4","Aprobado","storage limit exceeded"
"38629655_IA-300_2024-1_2024-03-10","38629655_IA-300_2024-1","2024-03-10","3","Desaprobado","storage limit exceeded"
"36015798_UX-100_2024-1_2024-03-10","36015798_UX-100_2024-1","2024-03-10","10","Aprobado","storage limit exceeded"
"37951141_DAT-101_2024-1_2024-03-10","37951141_DAT-101_2024-1","2024-03-10","4","Aprobado","storage limit exceeded"
"39734889_GEN-101_2024-1_2024-03-10","39734889_GEN-101_2024-1","2024-03-10","2","Desaprobado","storage limit exceeded"
"41134242_GEN-101_2024-1_2024-03-10","41134242_GEN-101_2024-1","2024-03-10","9","Aprobado","storage limit exceeded"
"31379964_GEN-101_2024-1_2024-03-10","31379964_GEN-101_2024-1","2024-03-10","9","Aprobado","storage limit exceeded"
"45752068_DAT-101_2024-1_2024-03-10","45752068_DAT-101_2024-1","2024-03-10","1","Desaprobado","storage limit exceeded"
"37795993_DEV-101_2024-1_2024-03-10","37795993_DEV-101_2024-1","2024-03-10","1","Desaprobado","storage limit exceeded"
"36128228_MKT-200_2024-1_2024-03-10","36128228_MKT-200_2024-1","2024-03-10","6","Aprobado","storage limit exceeded"
"33155313_DAT-101_2024-1_2024-03-11","33155313_DAT-101_2024-1","2024-03-11","7","Aprobado","storage limit exceeded"
"31187731_MKT-200_2024-1_2024-03-11","31187731_MKT-200_2024-1","2024-03-11","9","Aprobado","storage limit exceeded"
"30507337_IA-300_2024-1_2024-03-11","30507337_IA-300_2024-1","2024-03-11","3","Desaprobado","storage limit exceeded"
"33195960_GEN-101_2024-1_2024-03-11","33195960_GEN-101_2024-1","2024-03-11","6","Aprobado","storage limit exceeded"
"35524090_MKT-200_2024-1_2024-03-11","35524090_MKT-200_2024-1","2024-03-11","6","Aprobado","storage limit exceeded"
"35081927_DAT-201_2024-1_2024-03-12","35081927_DAT-201_2024-1","2024-03-12","5","Aprobado","storage limit exceeded"
"35845730_NEG-400_2024-1_2024-03-12","35845730_NEG-400_2024-1","2024-03-12","5","Aprobado","storage limit exceeded"
"42574929_IA-300_2024-1_2024-03-12","42574929_IA-300_2024-1","2024-03-12","8","Aprobado","storage limit exceeded"
"31370404_GEN-101_2024-1_2024-03-12","31370404_GEN-101_2024-1","2024-03-12","3","Desaprobado","storage limit exceeded"
"35915007_DAT-201_2024-1_2024-03-12","35915007_DAT-201_2024-1","2024-03-12","8","Aprobado","storage limit exceeded"
"35589315_DEV-101_2024-1_2024-03-12","35589315_DEV-101_2024-1","2024-03-12","6","Aprobado","storage limit exceeded"
"32200927_MKT-200_2024-1_2024-03-12","32200927_MKT-200_2024-1","2024-03-12","10","Aprobado","storage limit exceeded"
"42305779_DAT-101_2024-1_2024-03-13","42305779_DAT-101_2024-1","2024-03-13","5","Aprobado","storage limit exceeded"
"40988877_NEG-400_2024-1_2024-03-13","40988877_NEG-400_2024-1","2024-03-13","9","Aprobado","storage limit exceeded"
"32150912_GEN-101_2024-1_2024-03-13","32150912_GEN-101_2024-1","2024-03-13","4","Aprobado","storage limit exceeded"
"34471842_NEG-400_2024-1_2024-03-13","34471842_NEG-400_2024-1","2024-03-13","7","Aprobado","storage limit exceeded"
"33988348_NEG-400_2024-1_2024-03-13","33988348_NEG-400_2024-1","2024-03-13","1","Desaprobado","storage limit exceeded"
"31554768_IA-300_2024-1_2024-03-13","31554768_IA-300_2024-1","2024-03-13","3","Desaprobado","storage limit exceeded"
"41754338_IA-300_2024-1_2024-03-14","41754338_IA-300_2024-1","2024-03-14","1","Desaprobado","storage limit exceeded"
"32474711_IA-300_2024-1_2024-03-14","32474711_IA-300_2024-1","2024-03-14","6","Aprobado","storage limit exceeded"
"41591741_NEG-400_2024-1_2024-03-14","41591741_NEG-400_2024-1","2024-03-14","1","Desaprobado","storage limit exceeded"
"36117422_DAT-101_2024-1_2024-03-14","36117422_DAT-101_2024-1","2024-03-14","7","Aprobado","storage limit exceeded"
"36005534_DAT-101_2024-1_2024-03-14","36005534_DAT-101_2024-1","2024-03-14","5","Aprobado","storage limit exceeded"
"32088271_MKT-200_2024-1_2024-03-14","32088271_MKT-200_2024-1","2024-03-14","1","Desaprobado","storage limit exceeded"
"42740444_MKT-200_2024-1_2024-03-14","42740444_MKT-200_2024-1","2024-03-14","1","Desaprobado","storage limit exceeded"
"36868365_UX-100_2024-1_2024-03-15","36868365_UX-100_2024-1","2024-03-15","1","Desaprobado","storage limit exceeded"
"43315303_GEN-101_2024-1_2024-03-15","43315303_GEN-101_2024-1","2024-03-15","3","Desaprobado","storage limit exceeded"
"37275248_DAT-201_2024-1_2024-03-15","37275248_DAT-201_2024-1","2024-03-15","7","Aprobado","storage limit exceeded"
"43904609_DEV-101_2024-1_2024-03-15","43904609_DEV-101_2024-1","2024-03-15","6","Aprobado","storage limit exceeded"
"42763799_DAT-201_2024-1_2024-03-15","42763799_DAT-201_2024-1","2024-03-15","2","Desaprobado","storage limit exceeded"
"33601032_DAT-201_2024-1_2024-03-15","33601032_DAT-201_2024-1","2024-03-15","2","Desaprobado","storage limit exceeded"
"31629308_DAT-201_2024-1_2024-03-15","31629308_DAT-201_2024-1","2024-03-15","2","Desaprobado","storage limit exceeded"
"42881854_MKT-200_2024-1_2024-03-15","42881854_MKT-200_2024-1","2024-03-15","4","Aprobado","storage limit exceeded"
"33293475_UX-100_2024-1_2024-03-15","33293475_UX-100_2024-1","2024-03-15","7","Aprobado","storage limit exceeded"
"37663002_DAT-101_2024-1_2024-03-16","37663002_DAT-101_2024-1","2024-03-16","10","Aprobado","storage limit exceeded"
"37795993_GEN-101_2024-1_2024-03-16","37795993_GEN-101_2024-1","2024-03-16","8","Aprobado","storage limit exceeded"
"34343777_NEG-400_2024-1_2024-03-16","34343777_NEG-400_2024-1","2024-03-16","1","Desaprobado","storage limit exceeded"
"43888324_UX-100_2024-1_2024-03-16","43888324_UX-100_2024-1","2024-03-16","9","Aprobado","storage limit exceeded"
"42645481_MKT-200_2024-1_2024-03-16","42645481_MKT-200_2024-1","2024-03-16","4","Aprobado","storage limit exceeded"
"42613265_IA-300_2024-1_2024-03-16","42613265_IA-300_2024-1","2024-03-16","5","Aprobado","storage limit exceeded"
"40603350_DAT-101_2024-1_2024-03-16","40603350_DAT-101_2024-1","2024-03-16","1","Desaprobado","storage limit exceeded"
"35650079_DEV-101_2024-1_2024-03-16","35650079_DEV-101_2024-1","2024-03-16","1","Desaprobado","storage limit exceeded"
"36630045_MKT-200_2024-1_2024-03-16","36630045_MKT-200_2024-1","2024-03-16","1","Desaprobado","storage limit exceeded"
"34939319_DAT-201_2024-1_2024-03-16","34939319_DAT-201_2024-1","2024-03-16","6","Aprobado","storage limit exceeded"
"39916823_IA-300_2024-1_2024-03-16","39916823_IA-300_2024-1","2024-03-16","2","Desaprobado","storage limit exceeded"
"31629308_DAT-201_2024-1_2024-03-17","31629308_DAT-201_2024-1","2024-03-17","1","Desaprobado","storage limit exceeded"
"36906085_UX-100_2024-1_2024-03-17","36906085_UX-100_2024-1","2024-03-17","5","Aprobado","storage limit exceeded"
"34211417_DEV-101_2024-1_2024-03-17","34211417_DEV-101_2024-1","2024-03-17","8","Aprobado","storage limit exceeded"
"45182848_IA-300_2024-1_2024-03-17","45182848_IA-300_2024-1","2024-03-17","10","Aprobado","storage limit exceeded"
"37795993_GEN-101_2024-1_2024-03-17","37795993_GEN-101_2024-1","2024-03-17","1","Desaprobado","storage limit exceeded"
"40422549_MKT-200_2024-1_2024-03-17","40422549_MKT-200_2024-1","2024-03-17","10","Aprobado","storage limit exceeded"
"31122274_IA-300_2024-1_2024-03-17","31122274_IA-300_2024-1","2024-03-17","7","Aprobado","storage limit exceeded"
"32152121_MKT-200_2024-1_2024-03-17","32152121_MKT-200_2024-1","2024-03-17","3","Desaprobado","storage limit exceeded"
"36362413_NEG-400_2024-1_2024-03-18","36362413_NEG-400_2024-1","2024-03-18","6","Aprobado","storage limit exceeded"
"37856329_GEN-101_2024-1_2024-03-18","37856329_GEN-101_2024-1","2024-03-18","3","Desaprobado","storage limit exceeded"
"38934818_DAT-201_2024-1_2024-03-18","38934818_DAT-201_2024-1","2024-03-18","9","Aprobado","storage limit exceeded"
"43651742_UX-100_2024-1_2024-03-18","43651742_UX-100_2024-1","2024-03-18","8","Aprobado","storage limit exceeded"
"44661890_GEN-101_2024-1_2024-03-18","44661890_GEN-101_2024-1","2024-03-18","6","Aprobado","storage limit exceeded"
"37706458_MKT-200_2024-1_2024-03-18","37706458_MKT-200_2024-1","2024-03-18","8","Aprobado","storage limit exceeded"
"35648819_DAT-101_2024-1_2024-03-18","35648819_DAT-101_2024-1","2024-03-18","10","Aprobado","storage limit exceeded"
"30680437_DEV-101_2024-1_2024-03-18","30680437_DEV-101_2024-1","2024-03-18","2","Desaprobado","storage limit exceeded"
"35915416_DAT-201_2024-1_2024-03-19","35915416_DAT-201_2024-1","2024-03-19","3","Desaprobado","storage limit exceeded"
"38526500_DAT-101_2024-1_2024-03-19","38526500_DAT-101_2024-1","2024-03-19","9","Aprobado","storage limit exceeded"
"31629308_UX-100_2024-1_2024-03-19","31629308_UX-100_2024-1","2024-03-19","1","Desaprobado","storage limit exceeded"
"37869329_IA-300_2024-1_2024-03-19","37869329_IA-300_2024-1","2024-03-19","9","Aprobado","storage limit exceeded"
"30856430_DAT-201_2024-1_2024-03-19","30856430_DAT-201_2024-1","2024-03-19","4","Aprobado","storage limit exceeded"
"42760731_NEG-400_2024-1_2024-03-19","42760731_NEG-400_2024-1","2024-03-19","5","Aprobado","storage limit exceeded"
"41332008_GEN-101_2024-1_2024-03-19","41332008_GEN-101_2024-1","2024-03-19","1","Desaprobado","storage limit exceeded"
"31767975_DAT-101_2024-1_2024-03-20","31767975_DAT-101_2024-1","2024-03-20","5","Aprobado","storage limit exceeded"
"42254691_DAT-201_2024-1_2024-03-20","42254691_DAT-201_2024-1","2024-03-20","5","Aprobado","storage limit exceeded"
"44536877_NEG-400_2024-1_2024-03-20","44536877_NEG-400_2024-1","2024-03-20","7","Aprobado","storage limit exceeded"
"38877407_DEV-101_2024-1_2024-03-20","38877407_DEV-101_2024-1","2024-03-20","6","Aprobado","storage limit exceeded"
"35049197_DAT-201_2024-1_2024-03-20","35049197_DAT-201_2024-1","2024-03-20","10","Aprobado","storage limit exceeded"
"36629400_DEV-101_2024-1_2024-03-20","36629400_DEV-101_2024-1","2024-03-20","4","Aprobado","storage limit exceeded"
"36701152_DAT-201_2024-1_2024-03-20","36701152_DAT-201_2024-1","2024-03-20","2","Desaprobado","storage limit exceeded"
"39775624_UX-100_2024-1_2024-03-20","39775624_UX-100_2024-1","2024-03-20","9","Aprobado","storage limit exceeded"
"30362258_NEG-400_2024-1_2024-03-21","30362258_NEG-400_2024-1","2024-03-21","7","Aprobado","storage limit exceeded"
"36309794_IA-300_2024-1_2024-03-21","36309794_IA-300_2024-1","2024-03-21","4","Aprobado","storage limit exceeded"
"36727365_DAT-101_2024-1_2024-03-21","36727365_DAT-101_2024-1","2024-03-21","9","Aprobado","storage limit exceeded"
"31087473_UX-100_2024-1_2024-03-21","31087473_UX-100_2024-1","2024-03-21","6","Aprobado","storage limit exceeded"
"45561312_GEN-101_2024-1_2024-03-21","45561312_GEN-101_2024-1","2024-03-21","9","Aprobado","storage limit exceeded"
"35515194_DAT-101_2024-1_2024-03-21","35515194_DAT-101_2024-1","2024-03-21","10","Aprobado","storage limit exceeded"
"30279612_MKT-200_2024-1_2024-03-21","30279612_MKT-200_2024-1","2024-03-21","5","Aprobado","storage limit exceeded"
"30252475_UX-100_2024-1_2024-03-21","30252475_UX-100_2024-1","2024-03-21","5","Aprobado","storage limit exceeded"
"42727516_IA-300_2024-1_2024-03-22","42727516_IA-300_2024-1","2024-03-22","7","Aprobado","storage limit exceeded"
"42208457_UX-100_2024-1_2024-03-22","42208457_UX-100_2024-1","2024-03-22","2","Desaprobado","storage limit exceeded"
"32349994_MKT-200_2024-1_2024-03-22","32349994_MKT-200_2024-1","2024-03-22","4","Aprobado","storage limit exceeded"
"44385458_DEV-101_2024-1_2024-03-22","44385458_DEV-101_2024-1","2024-03-22","1","Desaprobado","storage limit exceeded"
"34567608_DEV-101_2024-1_2024-03-22","34567608_DEV-101_2024-1","2024-03-22","3","Desaprobado","storage limit exceeded"
"42909942_DAT-201_2024-1_2024-03-22","42909942_DAT-201_2024-1","2024-03-22","10","Aprobado","storage limit exceeded"
"38622234_MKT-200_2024-1_2024-03-22","38622234_MKT-200_2024-1","2024-03-22","6","Aprobado","storage limit exceeded"
"44927685_MKT-200_2024-1_2024-03-22","44927685_MKT-200_2024-1","2024-03-22","4","Aprobado","storage limit exceeded"
"35316729_MKT-200_2024-1_2024-03-22","35316729_MKT-200_2024-1","2024-03-22","3","Desaprobado","storage limit exceeded"
"38194575_DAT-201_2024-1_2024-03-22","38194575_DAT-201_2024-1","2024-03-22","1","Desaprobado","storage limit exceeded"
"41530667_GEN-101_2024-1_2024-03-23","41530667_GEN-101_2024-1","2024-03-23","8","Aprobado","storage limit exceeded"
"34356381_UX-100_2024-1_2024-03-23","34356381_UX-100_2024-1","2024-03-23","9","Aprobado","storage limit exceeded"
"43105183_GEN-101_2024-1_2024-03-23","43105183_GEN-101_2024-1","2024-03-23","3","Desaprobado","storage limit exceeded"
"41112892_DEV-101_2024-1_2024-03-23","41112892_DEV-101_2024-1","2024-03-23","5","Aprobado","storage limit exceeded"
"32141644_DEV-101_2024-1_2024-03-23","32141644_DEV-101_2024-1","2024-03-23","6","Aprobado","storage limit exceeded"
"31061893_DAT-101_2024-1_2024-03-23","31061893_DAT-101_2024-1","2024-03-23","7","Aprobado","storage limit exceeded"
"40578248_DAT-201_2024-1_2024-03-23","40578248_DAT-201_2024-1","2024-03-23","8","Aprobado","storage limit exceeded"
"37674710_UX-100_2024-1_2024-03-23","37674710_UX-100_2024-1","2024-03-23","10","Aprobado","storage limit exceeded"
"39571770_IA-300_2024-1_2024-03-23","39571770_IA-300_2024-1","2024-03-23","6","Aprobado","storage limit exceeded"
"36163868_GEN-101_2024-1_2024-03-24","36163868_GEN-101_2024-1","2024-03-24","3","Desaprobado","storage limit exceeded"
"39463207_IA-300_2024-1_2024-03-24","39463207_IA-300_2024-1","2024-03-24","6","Aprobado","storage limit exceeded"
"35517472_DAT-201_2024-1_2024-03-24","35517472_DAT-201_2024-1","2024-03-24","4","Aprobado","storage limit exceeded"
"37678418_DAT-101_2024-1_2024-03-25","37678418_DAT-101_2024-1","2024-03-25","1","Desaprobado","storage limit exceeded"
"34635361_DAT-201_2024-1_2024-03-25","34635361_DAT-201_2024-1","2024-03-25","5","Aprobado","storage limit exceeded"
"42253635_MKT-200_2024-1_2024-03-25","42253635_MKT-200_2024-1","2024-03-25","9","Aprobado","storage limit exceeded"
"35501443_UX-100_2024-1_2024-03-25","35501443_UX-100_2024-1","2024-03-25","1","Desaprobado","storage limit exceeded"
"40245831_NEG-400_2024-1_2024-03-26","40245831_NEG-400_2024-1","2024-03-26","7","Aprobado","storage limit exceeded"
"39144752_DAT-201_2024-1_2024-03-26","39144752_DAT-201_2024-1","2024-03-26","2","Desaprobado","storage limit exceeded"
"41931470_IA-300_2024-1_2024-03-26","41931470_IA-300_2024-1","2024-03-26","4","Aprobado","storage limit exceeded"
"39386440_DAT-201_2024-1_2024-03-26","39386440_DAT-201_2024-1","2024-03-26","9","Aprobado","storage limit exceeded"
"36906085_DAT-201_2024-1_2024-03-26","36906085_DAT-201_2024-1","2024-03-26","10","Aprobado","storage limit exceeded"
"36948146_DEV-101_2024-1_2024-03-26","36948146_DEV-101_2024-1","2024-03-26","2","Desaprobado","storage limit exceeded"
"34092604_GEN-101_2024-1_2024-03-26","34092604_GEN-101_2024-1","2024-03-26","4","Aprobado","storage limit exceeded"
"37505561_GEN-101_2024-1_2024-03-26","37505561_GEN-101_2024-1","2024-03-26","10","Aprobado","storage limit exceeded"
"45419981_DEV-101_2024-1_2024-03-26","45419981_DEV-101_2024-1","2024-03-26","4","Aprobado","storage limit exceeded"
"45503533_MKT-200_2024-1_2024-03-26","45503533_MKT-200_2024-1","2024-03-26","1","Desaprobado","storage limit exceeded"
"42500015_IA-300_2024-1_2024-03-26","42500015_IA-300_2024-1","2024-03-26","10","Aprobado","storage limit exceeded"
"30966401_UX-100_2024-1_2024-03-26","30966401_UX-100_2024-1","2024-03-26","4","Aprobado","storage limit exceeded"
"36456678_DAT-201_2024-1_2024-03-27","36456678_DAT-201_2024-1","2024-03-27","8","Aprobado","storage limit exceeded"
"30465936_DAT-101_2024-1_2024-03-27","30465936_DAT-101_2024-1","2024-03-27","1","Desaprobado","storage limit exceeded"
"40764881_DEV-101_2024-1_2024-03-27","40764881_DEV-101_2024-1","2024-03-27","2","Desaprobado","storage limit exceeded"
"37142397_IA-300_2024-1_2024-03-27","37142397_IA-300_2024-1","2024-03-27","9","Aprobado","storage limit exceeded"
"38481398_UX-100_2024-1_2024-03-27","38481398_UX-100_2024-1","2024-03-27","2","Desaprobado","storage limit exceeded"
"44654200_DAT-101_2024-1_2024-03-27","44654200_DAT-101_2024-1","2024-03-27","4","Aprobado","storage limit exceeded"
"45171795_IA-300_2024-1_2024-03-27","45171795_IA-300_2024-1","2024-03-27","1","Desaprobado","storage limit exceeded"
"40167473_UX-100_2024-1_2024-03-27","40167473_UX-100_2024-1","2024-03-27","3","Desaprobado","storage limit exceeded"
"42002650_NEG-400_2024-1_2024-03-27","42002650_NEG-400_2024-1","2024-03-27","6","Aprobado","storage limit exceeded"
"34758464_GEN-101_2024-1_2024-03-27","34758464_GEN-101_2024-1","2024-03-27","2","Desaprobado","storage limit exceeded"
"39194704_DEV-101_2024-1_2024-03-27","39194704_DEV-101_2024-1","2024-03-27","5","Aprobado","storage limit exceeded"
"36489803_DAT-201_2024-1_2024-03-27","36489803_DAT-201_2024-1","2024-03-27","3","Desaprobado","storage limit exceeded"
"41915923_DAT-101_2024-1_2024-03-27","41915923_DAT-101_2024-1","2024-03-27","9","Aprobado","storage limit exceeded"
"40421216_GEN-101_2024-1_2024-03-27","40421216_GEN-101_2024-1","2024-03-27","3","Desaprobado","storage limit exceeded"
"39747478_NEG-400_2024-1_2024-03-27","39747478_NEG-400_2024-1","2024-03-27","2","Desaprobado","storage limit exceeded"
"44765173_GEN-101_2024-1_2024-03-27","44765173_GEN-101_2024-1","2024-03-27","4","Aprobado","storage limit exceeded"
"36594040_DAT-101_2024-1_2024-03-27","36594040_DAT-101_2024-1","2024-03-27","3","Desaprobado","storage limit exceeded"
"37444361_DAT-101_2024-1_2024-03-27","37444361_DAT-101_2024-1","2024-03-27","1","Desaprobado","storage limit exceeded"
"38446695_GEN-101_2024-1_2024-03-28","38446695_GEN-101_2024-1","2024-03-28","3","Desaprobado","storage limit exceeded"
"43062304_UX-100_2024-1_2024-03-28","43062304_UX-100_2024-1","2024-03-28","4","Aprobado","storage limit exceeded"
"44412440_DAT-101_2024-1_2024-03-28","44412440_DAT-101_2024-1","2024-03-28","4","Aprobado","storage limit exceeded"
"41748984_MKT-200_2024-1_2024-03-28","41748984_MKT-200_2024-1","2024-03-28","2","Desaprobado","storage limit exceeded"
